Phrase,Year,MatchCount,VolumeCount,Phrase
Austel,1738,1,1,Austel
Austel,1759,1,1,Austel
Austel,1777,2,2,Austel
Austel,1781,1,1,Austel
Austel,1789,1,1,Austel
Austel,1790,1,1,Austel
Austel,1792,1,1,Austel
Austel,1794,2,2,Austel
Austel,1795,2,2,Austel
Austel,1796,2,2,Austel
Austel,1801,91,5,Austel
Austel,1804,6,4,Austel
Austel,1805,3,2,Austel
Austel,1806,1,1,Austel
Austel,1807,1,1,Austel
Austel,1808,3,3,Austel
Austel,1809,21,3,Austel
Austel,1811,6,1,Austel
Austel,1814,11,6,Austel
Austel,1818,1,1,Austel
Austel,1819,2,2,Austel
Austel,1820,8,4,Austel
Austel,1823,6,6,Austel
Austel,1824,4,4,Austel
Austel,1825,3,3,Austel
Austel,1826,4,4,Austel
Austel,1828,4,4,Austel
Austel,1829,3,3,Austel
Austel,1830,2,1,Austel
Austel,1831,3,3,Austel
Austel,1832,6,5,Austel
Austel,1833,4,4,Austel
Austel,1834,4,2,Austel
Austel,1836,1,1,Austel
Austel,1837,3,3,Austel
Austel,1838,8,6,Austel
Austel,1839,7,7,Austel
Austel,1842,2,2,Austel
Austel,1845,5,5,Austel
Austel,1848,1,1,Austel
Austel,1849,1,1,Austel
Austel,1851,6,3,Austel
Austel,1852,8,5,Austel
Austel,1853,2,2,Austel
Austel,1854,1,1,Austel
Austel,1855,2,2,Austel
Austel,1857,3,3,Austel
Austel,1858,32,5,Austel
Austel,1860,9,9,Austel
Austel,1861,3,3,Austel
Austel,1862,2,2,Austel
Austel,1864,2,2,Austel
Austel,1865,12,6,Austel
Austel,1866,5,4,Austel
Austel,1867,5,4,Austel
Austel,1868,2,2,Austel
Austel,1869,7,1,Austel
Austel,1870,23,3,Austel
Austel,1872,1,1,Austel
Austel,1873,1,1,Austel
Austel,1874,2,2,Austel
Austel,1878,9,9,Austel
Austel,1880,1,1,Austel
Austel,1883,1,1,Austel
Austel,1884,1,1,Austel
Austel,1885,5,5,Austel
Austel,1886,6,4,Austel
Austel,1887,5,3,Austel
Austel,1888,8,3,Austel
Austel,1890,3,3,Austel
Austel,1892,9,9,Austel
Austel,1893,1,1,Austel
Austel,1894,8,5,Austel
Austel,1896,1,1,Austel
Austel,1897,7,2,Austel
Austel,1898,3,3,Austel
Austel,1900,1,1,Austel
Austel,1901,1,1,Austel
Austel,1904,23,8,Austel
Austel,1905,8,8,Austel
Austel,1906,1,1,Austel
